title,url
PerfectXML,http://www.PerfectXML.com/RSSConnect/rss.xml
Java Technology,http://servlet.java.sun.com/syndication/rss_java_highlights-PARTNER-20.xml
Oracle Technology Network (OTN) News,http://otn.oracle.com/syndication/rss_otn_news.xml
